date	deaths	injuries	location	description
1921-05-31T04:00:00.000Z	36	800	Greenwood, Tulsa, Oklahoma	"Tulsa race massacre: When white mobs attacked the black residents and business of the Greenwood District in Tulsa. The attack was carried out using guns, fire and private aircraft and aided by the United States National Guard. The attack, carried out on the ground and from private aircraft, destroyed more than 35 square blocks of the district – at that time the wealthiest black community in the United States, known as ""Black Wall Street"".[179]"
1922-06-21T04:00:00.000Z	23	0	Herrin, Illinois	Herrin Massacre: During a United Mineworkers of America nationwide strike union miners shot at strikebreakers working at the mine. The mine's guards killed three union miners on June 21, and the miners killed 20 strikebreakers and guards on June 22.[176]
1924-09-09T04:00:00.000Z	20	0	Hanapepe, Hawaii	Hanapepe Massacre: During a strike of Filipino sugar workers, in an attempt to rescue two hostage strikebreakers police killed 16 strikers, while strikers killed four law enforcement members.[175]
1929-02-14T05:00:00.000Z	7	0	Chicago, Illinois	Saint Valentine's Day Massacre: Seven members and associates of Chicago's North Side Gang were shot and killed execution style against a garage wall.[174]
1933-06-17T04:00:00.000Z	5	3	Kansas City, Missouri	Kansas City Massacre: Four law enforcement officers and a fugitive were killed, with three law enforcement officers wounded in a shootout between the two groups.[173]
1934-11-09T05:00:00.000Z	5	12	Kelayres, Pennsylvania	Kelayres Massacre: An election-eve parade and rally was shot at as it passed by the home of the local Republican boss, three victims died and between twelve and twenty-five were wounded.[172]
1945-07-08T04:00:00.000Z	9	19	Salina, Utah	Utah Prisoner of War Massacre: Nine German POWs were killed and nineteen wounded by an American Army Private who shot at them while on guard duty.[171]
1946-07-25T04:00:00.000Z	4	0	Walton County, Georgia	Moore's Ford Lynching: Four young African Americans composed of two married couples were lynched by a white mob and were shot and killed.[170]
1949-09-06T04:00:00.000Z	13	3	Camden, New Jersey	'Walk of Death' Killings by Howard Unruh: The perpetrator walked through his neighborhood for 12 minutes and killed thirteen; including three children, and injured three.[169]
1954-03-01T05:00:00.000Z	0	5	Washington D.C.	1954 United States Capitol Shooting Incident: Four Puerto Rican nationalists shot from the Ladies Gallery of the House of Representatives chamber and wounded five Representatives.[168]
1965-04-25T05:00:00.000Z	4	10	Orcutt, California	1965 Highway 101 sniper attack: A 16-year-old stole his father's military rifle and shot at automobiles driving down the highway, killing two and injuring eleven before committing suicide. A third victim died later at the hospital.[167]
1966-08-01T04:00:00.000Z	17	31	Austin, Texas	University of Texas tower shooting: A student and former Marine sharpshooter killed his wife and mother before using the University of Texas clock tower as a sniper's nest to kill 15 people, including a pregnant woman, and wound 31 before being killed by police.
1968-02-08T05:00:00.000Z	3	27	Orangeburg, South Carolina	South Carolina State University shooting: After responding to the scene of about 200 protestors protesting racial segregation, after an officer was assaulted, officers began to shoot into the crowd; three people were killed and twenty-seven injured.
1968-06-25T04:00:00.000Z	6	0	Good Hart, Michigan	Robison family murders: While vacationing, a family was shot and killed, with the parents also bludgeoned with a hammer. The investigation continued for fifteen months after the bodies were discovered.[166]
1968-07-23T04:00:00.000Z	6	12	Cleveland, Ohio	Glenville shootout: A gun battle between the Cleveland Police Department and the Black Nationalists of New Libya led to six people being killed and at least twelve injured, and sparked the Glenville Riots.[165]
1969-05-21T04:00:00.000Z	2	27	Greensboro, North Carolina	1969 Greensboro uprising: Student protestors, police officers and members of the National Guard exchanged gunfire on the campuses of James B. Dudley High School and North Carolina Agricultural and Technical State University, due to civil rights issues. Two were killed and twenty-seven injured.[164]
1970-05-04T04:00:00.000Z	4	9	Kent, Ohio	Kent State shootings: During a protest of the bombing of Cambodia at the University, members of the Ohio National Guard opened fire, killing four and injuring nine people.
