date	deaths	injuries	location	description
1764-07-26T04:56:02.000Z	10	2	Greencastle, Pennsylvania	The first known school shooting in what was to become the United States was the Enoch Brown school massacre on July 26, 1764, in Greencastle, Pennsylvania. A group of Lenape Native Americans entered a schoolhouse, shot and scalped schoolmaster Enoch Brown, and killed nine or ten children. Two children survived.[1]
1840-11-12T04:56:02.000Z	1	0	Charlottesville, Virginia	John Anthony Gardner Davis, a law professor at the University of Virginia, was shot by student Joseph Semmes and died three days later.[2][3]
1853-11-02T04:56:02.000Z	1	0	Louisville, Kentucky	Student Mathews Flounoy Ward shot the schoolmaster William H.G. Butler as revenge for what Ward thought was excessive punishment of his brother the day before. Butler died, and Ward was acquitted.[4]
1856-08-16T04:56:02.000Z	2	0	Florence, Alabama	The schoolmaster warned students not to harm his tame sparrow, threatening death. One of the boys stepped on the bird and killed it. When the boy returned to school, the master took the boy into a private room and strangled him. The boy's father upon hearing what had happened went to the school and shot the schoolmaster dead.[5]
1858-07-08T04:56:02.000Z	1	0	Baltimore, Maryland	The 15-year-old son of Col. John T. Farlow (Baltimore's Marshal of Police 1867–70), was killed during a Sabbath School gathering. The perpetrator escaped, but several arrests were made.[6]
1860-01-21T04:56:02.000Z	1	0	Todd County, Kentucky	A son of Col. Elijah Sebree was killed by another student. Young Sebree was threatening the other boy; the latter   student got a gun and fatally shot Sebree in the schoolhouse.[7]
1864-02-06T04:56:02.000Z	1	0	Ashland County, Ohio	George W. Longfelt, the school teacher of the Pyfer's School House, killed student Alfred Desem and fled.[8]
1867-02-16T04:56:02.000Z	2	0	Knights Ferry, California	Mr. McGinnis was killed by his daughter's teacher after McGinnis threatened the teacher for expelling his daughter from school. When McGinnis' son learned of this, he went to the school and killed the teacher.[9]
1867-04-02T04:56:02.000Z	1	0	Madison, Florida	Frank Pope, a pupil at St. John's seminary, shot and killed his teacher Mr. Bristow.[10]
1867-06-08T04:56:02.000Z	0	1	New York City, New York	13-year-old Arthur Day secretly took a loaded pistol to PS No. 18 to shoot a dog he said had bitten him. While playing with the pistol, Day accidentally shot and wounded classmate Robert Morton.[11]
1871-01-27T04:56:02.000Z	1	0	Knoxville, Tennessee	John Roberts, aged ten or twelve, was accidentally shot in the eye at school and died.[12]
1872-02-01T04:56:02.000Z	0	1	Washington, Pennsylvania	At the all-girls Union School, 17-year-old Thomas McGiffin shot and seriously wounded the principal, Prof. Wilson, in the hip because Wilson refused to deliver a note to one of the girls. McGiffin was a son of Col. Norton McGiffin, and brother of US naval hero Philo McGiffin.[13]
1873-02-11T04:56:02.000Z	0	1	Wisconsin	A man shot the school mistress for whipping his son.[14]
1874-02-20T04:56:02.000Z	1	0	Agency, Montana	After being ejected from school for disobedience, 20-year-old Thomas Squires fatally shot Prof. Hayes three times in the abdomen.[15]
1874-04-09T04:56:02.000Z	1	0	Lebanon, Tennessee	"John R. Breckinridge, son of the late Robert Jefferson Breckinridge, attending classes in law at Cumberland University in Lebanon, Tennessee, was killed by John L. Anderson, the Mayor's son. The latter was reportedly ""crazed with liquor.""[16][17]"
1878-05-24T04:56:02.000Z	0	1	St. Paul, Minnesota	A 12-year-old boy, Luckert, accidentally shot and wounded Allie McDonald, another boy at the Neill school. The youth was expected to recover. His mother Mrs. McDonald went to the police station, but did not file a formal complaint.[18]
1879-05-24T04:56:02.000Z	0	1	Lancaster, New York	Telegraph operator Frank Shugart shot and severely injured Mr. Carr, superintendent of the stables at a girls' school.[19]
1881-12-01T04:56:02.000Z	1	0	Santa Monica, California	While working late at the schoolhouse on a program for the children's concert, Mr. O'Donnell, the school master, and Mr. Williams, one of the parents, got into an argument. Williams fatally shot O'Donnell in the back.[20]
1881-12-22T04:56:02.000Z	0	0	Shelby County, Indiana	School teacher Charles J. Gregory shot at a pupil at close range because he refused to write on a slate. The bullet missed the boy. The teacher was arrested.[21]
1882-01-16T04:56:02.000Z	0	0	Iola, Kansas	A group of boys shot into a schoolhouse, but no one was hurt. Two of the boys were arrested and pleaded guilty three weeks later. They were fined $9.00 each.[22]
1882-04-13T04:56:02.000Z	0	1	Huntsville, Texas	G.W. Gray, a student at the Sam Houston Normal School, shot and wounded another student, M.J. Jordan. They were arguing over a comic valentine.[23]
1883-02-14T04:56:02.000Z	0	3	Florence, Nebraska	As some children were playing and throwing snowballs outside the Ponca Creek schoolhouse, Lem Harbaugh and the Shipley brothers, three young men, pulled up in a wagon and engaged the children in a snowball fight. One of the Shipley brothers had a .45 caliber needle gun. As the children kept throwing snowballs, Harbaugh aimed the gun at them. The lock was faulty and the gun went off; he wounded Mamie Shipley, Joy Price, and Marquis Price. Harbaugh later surrendered himself to the authorities.[24]
1883-11-20T05:00:00.000Z	0	0	Barber County, Kansas	A bunch of drunken cowboys stopped at several schoolhouses, forcing two teachers to drink whiskey, and firing numerous shots at three schoolhouses.[25]
1884-02-28T05:00:00.000Z	0	2	Danville, Virginia	"As Allen Wamack, a 15-year-old boy, drove by an all black schoolhouse, he called out ""school butter"" (an insult meaning a cobbing, or a whipping).[26] The students came out and fired several shots at him; he shot back, hitting two students.[27]"
1884-03-06T05:00:00.000Z	0	0	Boston, Massachusetts	As news of outlaw Jesse James reached the East Coast, young boys started to imitate him. For instance, boys shot at police investigating their activities at the Concord Street schoolhouse.[28]
